timestamp,PrimaryPLC.System.TMS/ClntReserv,PrimaryPLC.System.TMS/ClntReservoir,PrimaryPLC.System.TMS/ClntTemp,PrimaryPLC.System.TMS/ClntTempCold,PrimaryPLC.System.TMS/ClntTempHot
263432,0,1,20.0564,0,0
263441,0,1,20.0564,0,0
263450,0,1,20.0564,0,0
263459,0,1,20.0564,0,0
263468,0,1,20.0564,0,0
263477,0,1,20.0878,0,0
263486,0,1,20.0878,0,0
263495,0,1,20.0878,0,0
263504,0,1,20.0878,0,0
263513,0,1,20.0564,0,0
263522,0,1,20.0878,0,0
263531,0,1,20.0878,0,0
263540,0,1,20.0878,0,0
263549,0,1,20.0878,0,0
263558,0,1,20.1192,0,0
263567,0,1,20.0878,0,0
263576,0,1,20.1506,0,0
263585,0,1,20.339,0,0
263594,0,1,20.3704,0,0
263603,0,1,20.3704,0,0
263612,0,1,20.3704,0,0
263621,0,1,20.3076,0,0
263630,0,1,20.3704,0,0
263639,0,1,20.3704,0,0
263648,0,1,20.4018,0,0
263657,0,1,20.3704,0,0
263666,0,1,20.4018,0,0
263675,0,1,20.4018,0,0
263684,0,1,20.4018,0,0
263693,0,1,20.339,0,0
263702,0,1,20.3704,0,0
263711,0,1,20.3704,0,0
263720,0,1,20.4018,0,0
263729,0,1,20.3704,0,0
263738,0,1,20.4332,0,0
263747,0,1,20.4332,0,0
263756,0,1,20.4018,0,0
263765,0,1,20.4018,0,0
263774,0,1,20.496,0,0
263783,0,1,20.4018,0,0
263792,0,1,20.653,0,0
263801,0,1,20.4018,0,0
263810,0,1,20.4332,0,0
263819,0,1,20.653,0,0
263828,0,1,20.653,0,0
263837,0,1,20.653,0,0
263846,0,1,20.653,0,0
263855,0,1,20.653,0,0
263864,0,1,20.653,0,0
263873,0,1,20.6844,0,0
263882,0,1,20.653,0,0
263891,0,1,20.6844,0,0
263900,0,1,20.653,0,0
263909,0,1,20.6844,0,0
263918,0,1,20.6844,0,0
263927,0,1,20.6844,0,0
263936,0,1,20.6844,0,0
263945,0,1,20.653,0,0
263954,0,1,20.653,0,0
263963,0,1,20.6844,0,0
263972,0,1,20.6844,0,0
263981,0,1,20.7158,0,0
263990,0,1,20.7472,0,0
263999,0,1,20.6844,0,0
264008,0,1,20.653,0,0
264017,0,1,20.6844,0,0
264026,0,1,20.7786,0,0
264035,0,1,20.7786,0,0
264044,0,1,20.8728,0,0
264053,0,1,20.9042,0,0
264062,0,1,20.9356,0,0
264071,0,1,20.8414,0,0
264080,0,1,20.9356,0,0
264089,0,1,20.967,0,0
264098,0,1,20.9356,0,0
264107,0,1,20.9356,0,0
264116,0,1,20.9356,0,0
264125,0,1,20.967,0,0
264134,0,1,20.9356,0,0
264143,0,1,20.9356,0,0
264152,0,1,20.9356,0,0
264161,0,1,20.967,0,0
264170,0,1,20.967,0,0
264179,0,1,20.9356,0,0
264188,0,1,20.967,0,0
264197,0,1,20.967,0,0
264206,0,1,20.967,0,0
264215,0,1,20.967,0,0
264224,0,1,20.967,0,0
264233,0,1,20.9984,0,0
264242,0,1,20.967,0,0
264251,0,1,20.967,0,0
264260,0,1,20.9984,0,0
264269,0,1,21.0926,0,0
264278,0,1,21.0298,0,0
264285,0,1,21.2182,0,0
264293,0,1,21.2182,0,0
264302,0,1,21.2182,0,0
264311,0,1,21.1868,0,0
264320,0,1,21.2496,0,0
264329,0,1,21.281,0,0
264338,0,1,21.2182,0,0
264347,0,1,21.2182,0,0
264356,0,1,21.2496,0,0
264365,0,1,21.2496,0,0
264374,0,1,21.2496,0,0
264383,0,1,21.281,0,0
264392,0,1,21.281,0,0
264401,0,1,21.2496,0,0
264410,0,1,21.281,0,0
264419,0,1,21.2496,0,0
264428,0,1,21.2496,0,0
264437,0,1,21.281,0,0
264446,0,1,21.281,0,0
264455,0,1,21.281,0,0
264464,0,1,21.3124,0,0
264473,0,1,21.3124,0,0
264482,0,1,21.3124,0,0
264491,0,1,21.3438,0,0
264500,0,1,21.3752,0,0
264509,0,1,21.3438,0,0
264518,0,1,21.5008,0,0
264527,0,1,21.4694,0,0
264536,0,1,21.5322,0,0
264545,0,1,21.4066,0,0
264554,0,1,21.5322,0,0
264563,0,1,21.5322,0,0
